,Time,User,Tweet
70,2022-12-08 13:27:28,AJENews,BREAKING: Russia frees US basketball star Brittney Griner in prisoner swap https://t.co/MthUu8IQtz https://t.co/GcimbgwDU7
71,2022-12-08 06:34:39,AJENews,BREAKING: Iran conducts first protest-related execution https://t.co/EonCVv5bdn https://t.co/02NGSw6AqP
72,2022-12-07 17:34:00,AJENews,"RT @AJEnglish: This year’s #FIFAWorldCup has been full of surprising wins and shocking moments.

Join #AJESpaces &amp; @AJE_Sport with @hallamo…"
73,2022-12-06 20:51:39,AJENews,"Jubilant Morocco reach World Cup quarter-finals

https://t.co/uvki5IXEB0"
74,2022-12-06 09:03:47,AJENews,BREAKING: Al Jazeera takes the killing of Shireen Abu Akleh to the ICC https://t.co/mxsWg5FILI https://t.co/LmiAmZKVfi
75,2022-12-04 10:35:30,AJENews,BREAKING: Iran prosecutor general signals ‘morality police’ suspended https://t.co/i10dsJ4p5p https://t.co/UbkS3n8hm5
76,2022-11-30 11:54:59,AJENews,"BREAKING: At least 15 killed in Afghanistan school bombing, says official https://t.co/OSPjmKldXl https://t.co/4ZPhWJ8AQl"
77,2022-11-29 08:28:14,AJENews,World Cup 2022 live: Spotlight on USA vs Iran on crucial day https://t.co/FY4RTXHpwT
78,2022-11-28 09:06:01,AJENews,"It's day nine of the World Cup and more teams fight to avoid early exit.
Follow latest updates here: https://t.co/433hnhn3bW https://t.co/SpYIpDiGXO"
79,2022-11-27 18:42:47,AJENews,BREAKING: ‘Explosion targets’ Mogadishu hotel used by Somali officials https://t.co/xqPJscbW86 https://t.co/THrapjW4RK
80,2022-11-27 08:27:26,AJENews,"World Cup 2022 live: Germany, Croatia aim for survival https://t.co/vRPEDMw7Bp"
81,2022-11-26 09:02:19,AJENews,"World Cup live: D-day for Argentina, history beckons for Saudis. Follow the latest updates: https://t.co/EDtD7MykN1 https://t.co/QlDg21dsn5"
82,2022-11-25 13:15:29,AJENews,"RT @AJEnglish: Cameroon in 1990, Senegal in 2002 and Ghana in 2010 - all reached the #FIFAWorldCup quarter-finals. 

Can they do it again o…"
83,2022-11-25 06:51:40,AJENews,World Cup 2022 live news: Qatar to play in round two of group stage https://t.co/b0Y8kmAzsK
84,2022-11-24 11:30:31,AJENews,"RT @AJEnglish: For better or worse? When VAR was introduced at the 2018 #FIFAWorldCup, it changed the tournament.

So what's in store at #Q…"
85,2022-11-22 12:14:40,AJENews,BREAKING: Saudi Arabia beats Argentina in shock upset https://t.co/hCmf4TK8eJ https://t.co/tLF2JI2ECi
86,2022-11-21 09:31:51,AJENews,BREAKING: Two killed in Turkey after rockets fired from Syria. More soon on https://t.co/hGzrK2N8WC https://t.co/JMwr20TX3n
87,2022-11-21 08:50:41,AJENews,BREAKING: Deadly earthquake rocks Indonesia https://t.co/jVvxwjRRnV https://t.co/ENIfIyXxhE
88,2022-11-21 08:21:24,AJENews,World Cup 2022 live news: Six teams face off in Qatar on day two https://t.co/tnjdS0oufg
89,2022-11-20 18:08:02,AJENews,Enner Valencia's double helps Ecuador see off Qatar in tournament's opener - All the latest updates https://t.co/18QkGK2OC1
90,2022-11-20 14:01:58,AJENews,UPDATE: Fans arrive for opening match at Al Bayt Stadium ahead of the FIFA World Cup opening ceremony in Al Khor https://t.co/2YINI2N5RR https://t.co/U2wpP1dhl8
